sku,gtin,identifier,title,description,slug,price,sale_price,brand,condition,photo,gallery,product_type,quantity,weight,measure,length,width,height,google_product_category,meta_tag,meta_description,show_in_feed
UCS-EZ7-1TBHDD4-RF,,No,UCS-EZ7-1TBHDD4-RF - Cisco 1TB 7200RPM SATA 6GB/s 2.5-inch Hard Drive,UCS-EZ7-1TBHDD4-RF - Cisco 1TB 7200RPM SATA 6GB/s 2.5-inch Hard Drive for UCS SmartPlay 7,ucs-ez7-1tbhdd4-rf-cisco-systems-inc-server-hard-drive,813.71,,Cisco Systems Inc,Refurbished,UCS-EZ7-1TBHDD4-RF.jpg,,Storage Devices/Hard Disk Drives/Server Hard Drive,100,3,lbs,0,0,0,Electronics > Electronics Accessories > Computer Components > Storage Devices > Hard Drives,UCS-EZ7-1TBHDD4-RF Cisco Systems Inc Server Hard Drive,,0
UCSEZ7300GBHDD1-RF,,No,UCSEZ7300GBHDD1-RF - Cisco 300GB 10000RPM SAS 6G 2.5-inch Hard Drive,UCSEZ7300GBHDD1-RF - Cisco 300GB 10000RPM SAS 6GB/s 2.5-inch Hard Drive,ucsez7300gbhdd1-rf-cisco-systems-inc-server-hard-drive,183.43,,Cisco Systems Inc,Refurbished,UCSEZ7300GBHDD1-RF.jpg,,Storage Devices/Hard Disk Drives/Server Hard Drive,100,3,lbs,0,0,0,Electronics > Electronics Accessories > Computer Components > Storage Devices > Hard Drives,UCSEZ7300GBHDD1-RF Cisco Systems Inc Server Hard Drive,,0
UCS-EZ8-1P2T-10K,,No,UCS-EZ8-1P2T-10K - Cisco 2TB 10000RPM SAS 6GB/s 2.5-inch Hard Drive,UCS-EZ8-1P2T-10K - Cisco 2TB 10000RPM SAS 6GB/s 2.5-inch Hard Drive for UCS B200 M4,ucs-ez8-1p2t-10k-cisco-systems-inc-server-hard-drive,898.02,,Cisco Systems Inc,Refurbished,UCS-EZ8-1P2T-10K.jpg,,Storage Devices/Hard Disk Drives/Server Hard Drive,100,3,lbs,0,0,0,Electronics > Electronics Accessories > Computer Components > Storage Devices > Hard Drives,UCS-EZ8-1P2T-10K Cisco Systems Inc Server Hard Drive,,0
UCS-EZ8-1T-7K,,No,UCS-EZ8-1T-7K - Cisco 1TB 7200RPM SAS 6GB/s 2.5-inch Hard Drive,UCS-EZ8-1T-7K - Cisco 1TB 7200RPM SAS 6GB/s 2.5-inch Hard Drive,ucs-ez8-1t-7k-cisco-systems-inc-server-hard-drive,1158.64,,Cisco Systems Inc,Refurbished,UCS-EZ8-1T-7K.jpg,,Storage Devices/Hard Disk Drives/Server Hard Drive,100,3,lbs,0,0,0,Electronics > Electronics Accessories > Computer Components > Storage Devices > Hard Drives,UCS-EZ8-1T-7K Cisco Systems Inc Server Hard Drive,,0
UCS-EZ8-1T-7K-RF,,No,UCS-EZ8-1T-7K-RF - Cisco 1TB 7200RPM SAS 6GB/s 2.5-inch Hard Drive,UCS-EZ8-1T-7K-RF - Cisco 1TB 7200RPM SAS 6GB/s 2.5-inch Hard Drive,ucs-ez8-1t-7k-rf-cisco-systems-inc-server-hard-drive,209.81,,Cisco Systems Inc,Refurbished,UCS-EZ8-1T-7K-RF.jpg,,Storage Devices/Hard Disk Drives/Server Hard Drive,100,3,lbs,0,0,0,Electronics > Electronics Accessories > Computer Components > Storage Devices > Hard Drives,UCS-EZ8-1T-7K-RF Cisco Systems Inc Server Hard Drive,,0
UCS-HD10T7KEM,,No,UCS-HD10T7KEM - Cisco 10TB 7200RPM SAS 12GB/s 3.5-inch Hard Drive,UCS-HD10T7KEM - Cisco 10TB 7200RPM SAS 12GB/s 3.5-inch Hard Drive,ucs-hd10t7kem-cisco-systems-inc-server-hard-drive,1780.52,,Cisco Systems Inc,Refurbished,UCS-HD10T7KEM.jpg,,Storage Devices/Hard Disk Drives/Server Hard Drive,100,3,lbs,0,0,0,Electronics > Electronics Accessories > Computer Components > Storage Devices > Hard Drives,UCS-HD10T7KEM Cisco Systems Inc Server Hard Drive,,0
UCS-HD10T7KL4K,,No,UCS-HD10T7KL4K - Cisco 10TB 7200RPM SAS 12GB/s 3.5-inch Hard Drive,UCS-HD10T7KL4K - Cisco 10TB 7200RPM SAS 12GB/s 3.5-inch Hard Drive,ucs-hd10t7kl4k-cisco-systems-inc-server-hard-drive,306.04,,Cisco Systems Inc,Refurbished,UCS-HD10T7KL4K.jpg,,Storage Devices/Hard Disk Drives/Server Hard Drive,100,3,lbs,0,0,0,Electronics > Electronics Accessories > Computer Components > Storage Devices > Hard Drives,UCS-HD10T7KL4K Cisco Systems Inc Server Hard Drive,,0
UCS-HD12G10000RPM9,,No,UCS-HD12G10000RPM9 - Cisco 1.2TB 10000RPM SAS 12GB/s SFF Hard Drive,UCS-HD12G10000RPM9 - Cisco 1.2TB 10000RPM SAS 12GB/s SFF Hard Drive,ucs-hd12g10000rpm9-cisco-systems-inc-server-hard-drive,277.54,,Cisco Systems Inc,Refurbished,UCS-HD12G10000RPM9.jpg,,Storage Devices/Hard Disk Drives/Server Hard Drive,100,3,lbs,0,0,0,Electronics > Electronics Accessories > Computer Components > Storage Devices > Hard Drives,UCS-HD12G10000RPM9 Cisco Systems Inc Server Hard Drive,,0
UCS-HD12T10KS2-E=,,No,UCS-HD12T10KS2-E= - Cisco 2TB 10000RPM SAS 6GB/s 2.5-inch Hard Drive,UCS-HD12T10KS2-E= - Cisco 2TB 10000RPM SAS 6GB/s 2.5-inch Hard Drive,ucs-hd12t10ks2-e-cisco-systems-inc-server-hard-drive,527.8,,Cisco Systems Inc,Refurbished,UCS-HD12T10KS2-E.jpg,,Storage Devices/Hard Disk Drives/Server Hard Drive,100,3,lbs,0,0,0,Electronics > Electronics Accessories > Computer Components > Storage Devices > Hard Drives,UCS-HD12T10KS2-E= Cisco Systems Inc Server Hard Drive,,0
UCS-HD12T10KS2E-RF,,No,UCS-HD12T10KS2E-RF - Cisco 2TB 10000RPM SAS 6GB/s 2.5-inch Hard Drive,UCS-HD12T10KS2E-RF - Cisco 2TB 10000RPM SAS 6GB/s 2.5-inch Hard Drive,ucs-hd12t10ks2e-rf-cisco-systems-inc-server-hard-drive,148.64,,Cisco Systems Inc,Refurbished,UCS-HD12T10KS2E-RF.jpg,,Storage Devices/Hard Disk Drives/Server Hard Drive,100,3,lbs,0,0,0,Electronics > Electronics Accessories > Computer Components > Storage Devices > Hard Drives,UCS-HD12T10KS2E-RF Cisco Systems Inc Server Hard Drive,,0
