sku,image name,title,brand,product_type,length
331415R-659,,331415R-659 - HP 12GB 4200RPM IDE Ultra ATA-66 2.5-inch Hard Drive,HP,Laptop Hard Drive,11
331415R-416,,331415R-416 - HP 20GB 4200RPM IDE Ultra ATA-100 2.5-inch Hard Drive,HP,Laptop Hard Drive,11
331415R-425,,331415R-425 - HP 20GB 4200RPM IDE Ultra ATA-100 2.5-inch Hard Drive,HP,Laptop Hard Drive,11
331415R-465,,331415R-465 - HP 30GB 4200RPM IDE Ultra ATA-100 2.5-inch Hard Drive,HP,Laptop Hard Drive,11
315961R-020,,315961R-020 - HP 20GB 4200RPM IDE Ultra ATA-100 2.5-inch Hard Drive,HP,Laptop Hard Drive,11
374730R-020,,374730R-020 - HP 20GB 4200RPM Ultra ATA-100 2.5-inch Hard Drive for Notebook PCs,HP,Laptop Hard Drive,11
331415R-648,,331415R-648 - HP 12GB 4200RPM IDE Ultra ATA-66 2.5-inch Hard Drive,HP,Laptop Hard Drive,11
331415R-672,,331415R-672 - HP 20GB 4200RPM IDE Ultra ATA-100 2.5-inch Hard Drive,HP,Laptop Hard Drive,11
331415R-676,,331415R-676 - HP 20GB 4200RPM IDE Ultra ATA-100 2.5-inch Hard Drive,HP,Laptop Hard Drive,11
331415R-609,,331415R-609 - HP 4.3GB 4200RPM IDE Ultra ATA-33 2.5-inch Hard Drive,HP,Laptop Hard Drive,11
331415R-708,,331415R-708 - HP 30GB 4200RPM IDE Ultra ATA-100 2.5-inch Hard Drive,HP,Laptop Hard Drive,11
331415R-663,,331415R-663 - HP 12GB 4200RPM IDE Ultra ATA-66 2.5-inch Hard Drive,HP,Laptop Hard Drive,11
331415R-716,,331415R-716 - HP 30GB 4200RPM IDE Ultra ATA-100 2.5-inch Hard Drive,HP,Laptop Hard Drive,11
331415R-369,,331415R-369 - HP 12GB 4200RPM IDE Ultra ATA-66 2.5-inch Hard Drive,HP,Laptop Hard Drive,11
331415R-382,,331415R-382 - HP 12GB 4200RPM IDE Ultra ATA-66 2.5-inch Hard Drive,HP,Laptop Hard Drive,11
331415R-393,,331415R-393 - HP 12GB 4200RPM IDE Ultra ATA-66 2.5-inch Hard Drive,HP,Laptop Hard Drive,11
331415R-395,,331415R-395 - HP 12GB 4200RPM IDE Ultra ATA-66 2.5-inch Hard Drive,HP,Laptop Hard Drive,11
331415R-661,,331415R-661 - HP 12GB 4200RPM IDE Ultra ATA-66 2.5-inch Hard Drive,HP,Laptop Hard Drive,11
330969R-007,,330969R-007 - HP 30GB 4200RPM IDE Ultra ATA-100 2.5-inch Hard Drive,HP,Laptop Hard Drive,11
331415R-341,,331415R-341 - HP 6GB 4200RPM IDE Ultra ATA-66 2.5-inch Hard Drive,HP,Laptop Hard Drive,11
331415R-359,,331415R-359 - HP 6GB 4200RPM IDE Ultra ATA-66 2.5-inch Hard Drive,HP,Laptop Hard Drive,11
331415R-362,,331415R-362 - HP 6GB 4200RPM IDE Ultra ATA-66 2.5-inch Hard Drive,HP,Laptop Hard Drive,11
331415R-646,,331415R-646 - HP 6GB 4200RPM IDE Ultra ATA-66 2.5-inch Hard Drive,HP,Laptop Hard Drive,11
331415R-647,,331415R-647 - HP 6GB 4200RPM IDE Ultra ATA-66 2.5-inch Hard Drive,HP,Laptop Hard Drive,11
331415R-675,,331415R-675 - HP 20GB 4200RPM IDE Ultra ATA-100 2.5-inch Hard Drive,HP,Laptop Hard Drive,11
